matchup_team_name,actual_team_name,manager_name
Hide N Zeke,Hide n Zeke,William
L G4Ng,L G4ng,Phoenix
Captain Falcon,Captain Falcon,Billy
Creampies,Creampies,Fraser
Breesus King Of The Drews,Breesus King of the Drews,Phoenix
King Juju,King JuJu,Justin
Bad Newz Kennels,Bad Newz Kennels,Angus
Yungsavagez,YungSavagez,Nic
Letsride,LetsRide,James
Slippery Gypsies,Slippery Gypsies,Michael
Matt Chokesondick Ryan,Matt Chokesondick Ryan,Robbie
Jerryswrld,JerrysWrld,William
100Yards,100yards,Daniel
Bijan Mustardson,Bijan Mustardson,Nelson
The Guru,The Guru,Robbie
Get Lynched,Get Lynched,William
9Er G4Ng,9er G4ng,Phoenix
Yungsauvages,YungSauvages,Nic
Game Of Jones,Game of Jones,Nelson
Royalfam,royalfam,Hayden
Fourtwentyone,FourTwenty-One,William
Vicks Dog House,Vicks Dog House,Angus
Jimmy Gspot,Jimmy G-Spot,Robbie
Texas Forever,Texas Forever,Jack
Tex Flex,Tex Flex,Billy
